year,geo,disagg,value
2000,WLD,Total,10.9
2001,WLD,Total,11.4
2002,WLD,Total,11.9
2003,WLD,Total,12.2
2004,WLD,Total,12.5
2005,WLD,Total,12.8
2006,WLD,Total,13.2
2007,WLD,Total,13.6
2008,WLD,Total,14.3
2009,WLD,Total,14.6
2010,WLD,Total,14.8
2011,WLD,Total,15.0
2012,WLD,Total,15.3
2013,WLD,Total,15.5
2014,WLD,Total,15.7
2015,WLD,Total,15.9
2016,WLD,Total,16.1
2017,WLD,Total,16.3
2018,WLD,Total,16.7
2019,WLD,Total,16.9
2020,WLD,Total,17.1
2021,WLD,Total,17.4
2022,WLD,Total,17.5
2023,WLD,Total,17.6
2024,WLD,Total,17.6
2024,WLD,OECM,1.2
2024,WLD,Protected areas,16.4
2024,ABW,Total,19.7
2024,AFG,Total,3.6
2024,AGO,Total,10.8
2024,AIA,Total,1.0
2024,ALA,Total,0.7
2024,ALB,Total,23.7
2024,AND,Total,27.3
2024,ARE,Total,19.2
2024,ARG,Total,8.8
2024,ARM,Total,38.9
2024,ASM,Total,16.4
2024,ATA,Total,0.0
2024,ATF,Total,100.0
2024,ATG,Total,16.5
2024,AUS,Total,22.0
2024,AUT,Total,29.6
2024,AZE,Total,22.1
2024,BDI,Total,7.6
2024,BEL,Total,16.3
2024,BEN,Total,29.7
2024,BES,Total,30.5
2024,BFA,Total,16.5
2024,BGD,Total,4.2
2024,BGR,Total,44.3
2024,BHR,Total,11.7
2024,BHS,Total,34.6
2024,BIH,Total,9.5
2024,BLM,Total,3.3
2024,BLR,Total,9.4
2024,BLZ,Total,37.3
2024,BMU,Total,2.3
2024,BOL,Total,30.9
2024,BRA,Total,30.6
2024,BRB,Total,1.1
2024,BRN,Total,39.9
2024,BTN,Total,52.5
2024,BVT,Total,100.0
2024,BWA,Total,29.2
2024,CAF,Total,14.9
2024,CAN,Total,13.8
2024,CCK,Total,18.4
2024,CHE,Total,12.5
2024,CHL,Total,21.6
2024,CHN,Total,15.6
2024,CIV,Total,22.8
2024,CMR,Total,11.0
2024,COD,Total,14.9
2024,COG,Total,36.8
2024,COK,Total,27.7
2024,COL,Total,28.2
2024,COM,Total,33.7
2024,CPV,Total,17.6
2024,CRI,Total,26.5
2024,CUB,Total,15.6
2024,CUW,Total,16.7
2024,CXR,Total,62.4
