year,geo,disagg,value
1992,WLD,6m³,0.9
1993,WLD,6m³,0.1
1996,WLD,6m³,0.9
1997,WLD,6m³,1.0
1999,WLD,6m³,0.2
2004,WLD,6m³,3.7
2005,WLD,6m³,0.7
2006,WLD,6m³,1.4
2007,WLD,6m³,2.7
2008,WLD,6m³,1.9
2009,WLD,6m³,1.3
2010,WLD,6m³,2.5
2011,WLD,6m³,3.2
2012,WLD,6m³,2.7
2013,WLD,6m³,1.5
2014,WLD,6m³,3.3
2015,WLD,6m³,2.4
2016,WLD,6m³,3.3
2017,WLD,6m³,5.0
2018,WLD,6m³,2.4
2019,WLD,6m³,3.3
2020,WLD,6m³,3.4
2021,WLD,6m³,3.8
2022,WLD,6m³,3.9
2023,WLD,6m³,3.5
2024,WLD,6m³,5.6
2025,WLD,6m³,8.3
1992,WLD,15m³,2.5
1993,WLD,15m³,2.9
1996,WLD,15m³,2.4
1997,WLD,15m³,2.5
1999,WLD,15m³,2.1
2004,WLD,15m³,3.8
2005,WLD,15m³,1.8
2006,WLD,15m³,3.6
2007,WLD,15m³,6.8
2008,WLD,15m³,4.1
2009,WLD,15m³,2.3
2010,WLD,15m³,4.9
2011,WLD,15m³,8.1
2012,WLD,15m³,6.0
2013,WLD,15m³,5.9
2014,WLD,15m³,9.2
2015,WLD,15m³,6.5
2016,WLD,15m³,8.7
2017,WLD,15m³,12
2018,WLD,15m³,6.8
2019,WLD,15m³,11
2020,WLD,15m³,9.3
2021,WLD,15m³,11
2022,WLD,15m³,10
2023,WLD,15m³,9.5
2024,WLD,15m³,15
2025,WLD,15m³,22
